competitionId,teamId,teamMarket,teamName,orbPct,drbPct,astPct,pace,ortg,drtg,ftaRate,tovPct,tovPctAgst,stlPct,blkPct
27693,104135,Rice,Owls,0.27126,0.74277,0.58413,70.998,104.02772,103.7259,0.26386,0.1812,0.15366,0.07649,0.05199
27693,104005,North Texas,Mean Green,0.28217,0.72747,0.52022,63.923,108.20482,96.63122,0.27111,0.17422,0.18563,0.1003,0.08368
27693,104351,UAB,Blazers,0.29535,0.749,0.39086,67.55,107.45607,89.23193,0.31443,0.13266,0.20821,0.1184,0.12136
27693,104453,Western Ky.,Hilltoppers,0.31771,0.75769,0.53888,67.705,106.44452,99.57713,0.35496,0.17939,0.16862,0.09406,0.12922
27043,104382,UTSA,Roadrunners,0.34816,0.67463,0.48318,66.986,102.38073,114.17483,0.5411,0.19825,0.15123,0.08981,0.05335
27249,103704,Houston,Cougars,0.35218,0.66395,0.50063,66.554,106.45137,106.20404,0.32964,0.18143,0.14825,0.07744,0.11797
27043,104135,Rice,Owls,0.22127,0.70286,0.64992,63.809,94.82455,106.59446,0.33249,0.17849,0.14777,0.07196,0.05322
30629,103447,Charlotte,49ers,0.2268,0.74379,0.55442,65.413,107.06246,108.88711,0.27974,0.15731,0.15134,0.07325,0.08036
27168,104135,Rice,Owls,0.19924,0.642,0.54503,62.75,96.00193,112.59106,0.30413,0.15843,0.18137,0.1046,0.03068
27249,104351,UAB,Blazers,0.34826,0.68662,0.53823,60.984,98.78091,100.46677,0.36305,0.19537,0.16067,0.07124,0.0941
27043,103594,FIU,Panthers,0.33805,0.67257,0.44562,66.141,102.95542,104.98744,0.41523,0.17986,0.15768,0.10661,0.10824
27043,103447,Charlotte,49ers,0.33838,0.70296,0.53299,68.693,103.18433,103.46383,0.39469,0.18024,0.15185,0.08778,0.06527
27168,104359,UCF,Knights,0.35023,0.67345,0.5612,65.58,107.05621,101.44479,0.40118,0.17636,0.16151,0.11354,0.11417
27249,104346,Tulane,Green Wave,0.31343,0.70722,0.54978,63.261,101.26982,96.61606,0.39793,0.16966,0.19607,0.11086,0.09738
27249,103553,East Carolina,Pirates,0.31466,0.68327,0.60509,65.75,103.9574,98.26311,0.34597,0.17743,0.19002,0.11712,0.11074
27043,104351,UAB,Blazers,0.40095,0.70233,0.49,68.445,105.52034,101.5156,0.40229,0.15141,0.13649,0.07882,0.0993
41097,104380,UTEP,Miners,0.27824,0.6756,0.48794,65.476,104.6086,109.23299,0.35069,0.15212,0.16333,0.11502,0.10491
